,city,age,gender,2011,2012,2013,2014,2015,2016,2017
0,부산광역시,계,남자,1719138,1711058,1706570,1704522,1703339,1697939,1685161
1,부산광역시,계,여자,1757211,1750823,1749164,1747787,1748921,1749023,1739248
2,부산광역시,0 - 4세,남자,67420,68182,68310,68602,69099,68469,65535
3,부산광역시,0 - 4세,여자,63531,64405,64565,64663,65648,64639,62021
4,부산광역시,5 - 9세,남자,69491,66875,66491,65207,65298,67150,67663
5,부산광역시,5 - 9세,여자,64595,62140,62134,61238,61355,63379,64088
6,부산광역시,10 - 14세,남자,102123,94885,88231,82734,76217,70092,67200
7,부산광역시,10 - 14세,여자,90964,84940,79420,75242,70040,64898,62320
8,부산광역시,15 - 19세,남자,129681,126079,120752,114984,109724,104349,97517
9,부산광역시,15 - 19세,여자,110961,109348,107014,103434,99368,95637,90229
10,부산광역시,20 - 24세,남자,123212,125115,128802,131259,132666,131718,128267
11,부산광역시,20 - 24세,여자,109926,109965,111299,112644,114668,115056,113523
12,부산광역시,25 - 29세,남자,128850,120293,113809,110651,111552,110960,113840
13,부산광역시,25 - 29세,여자,121130,112159,105881,102123,101531,100840,102360
14,부산광역시,30 - 34세,남자,130977,134522,135049,133122,126135,118701,109978
15,부산광역시,30 - 34세,여자,125882,128831,128968,125704,118676,110730,102692
16,부산광역시,35 - 39세,남자,132215,127488,123801,121737,124701,128651,130770
17,부산광역시,35 - 39세,여자,128860,123111,118910,116055,118071,121410,123899
18,부산광역시,40 - 44세,남자,138752,139803,140641,139049,136553,131362,125787
19,부산광역시,40 - 44세,여자,144019,143994,142996,139724,135681,129287,123028
20,부산광역시,45 - 49세,남자,141299,137131,132171,135775,136830,137803,138821
21,부산광역시,45 - 49세,여자,150045,145175,140594,143984,144219,144843,143636
22,부산광역시,50 - 54세,남자,158049,156725,156279,150664,144430,137216,133268
23,부산광역시,50 - 54세,여자,171945,171429,170830,164082,156086,146452,142132
24,부산광역시,55 - 59세,남자,129318,133744,139164,144620,146168,150599,149286
25,부산광역시,55 - 59세,여자,137145,142800,148846,156233,159664,165770,165025
26,부산광역시,60 - 64세,남자,98407,101411,103361,105705,112213,119451,124030
27,부산광역시,60 - 64세,여자,103844,107680,110572,113069,120946,130331,135784
28,부산광역시,65 - 69세,남자,72169,73677,75541,79645,83640,88451,91426
29,부산광역시,65 - 69세,여자,78571,79889,82333,87203,92223,98352,101949
30,부산광역시,70 - 74세,남자,52225,56329,61112,62512,64108,62658,64400
31,부산광역시,70 - 74세,여자,65662,69622,74020,74996,76131,73065,74756
32,부산광역시,75 - 79세,남자,28316,30741,33206,36302,39316,42476,46324
33,부산광역시,75 - 79세,여자,45689,47925,50352,53613,56420,59790,63359
34,부산광역시,80세이상,남자,16634,18058,19850,21954,24689,27833,31049
35,부산광역시,80세이상,여자,44442,47410,50430,53780,58194,64544,68447
36,부산광역시,80 - 84세,남자,11498,12606,13835,15249,17411,19677,21875
37,부산광역시,80 - 84세,여자,27530,29161,30343,31688,34237,37685,39703
38,부산광역시,85 - 89세,남자,4083,4227,4566,5151,5579,6324,7167
39,부산광역시,85 - 89세,여자,12430,13318,14395,16043,17405,19075,20347
40,부산광역시,90 - 94세,남자,929,1081,1284,1372,1459,1561,1674
41,부산광역시,90 - 94세,여자,3659,4012,4737,5069,5422,6419,6832
42,부산광역시,95 - 99세,남자,113,131,150,166,223,253,318
43,부산광역시,95 - 99세,여자,727,819,844,857,991,1209,1393
44,부산광역시,100세 이상,남자,11,13,15,16,17,18,15
45,부산광역시,100세 이상,여자,96,100,111,123,139,156,172
