,area,woman_01,woman_02,woman_03,woman_04,woman_05,woman_06,woman_07,woman_08,woman_09,woman_10,woman_11,woman_12
0,전국  (0000000000),6196770.0,6220756.0,6248807.0,6269118.0,6289647.0,6306224.0,6324549,6357008,6381594,6405759,6426873,6450108
1,서울특별시  (1100000000),1215196.0,1219838.0,1225154.0,1228470.0,1232138.0,1234975.0,1238268,1244558,1249190,1253097,1256573,1260449
2,부산광역시  (2600000000),492480.0,494593.0,497010.0,498791.0,500484.0,501801.0,503398,506005,508013,510135,511894,513859
3,대구광역시  (2700000000),303757.0,305010.0,306423.0,307438.0,308438.0,309341.0,310212,311837,313090,314329,315346,316508
4,인천광역시  (2800000000),287125.0,288775.0,290712.0,292111.0,293412.0,294589.0,295944,298020,299701,301416,302870,304471
5,광주광역시  (2900000000),153553.0,154202.0,154815.0,155373.0,155940.0,156418.0,156985,158053,158690,159408,160128,160656
6,대전광역시  (3000000000),156537.0,157196.0,158079.0,158728.0,159389.0,159906.0,160471,161444,162181,162971,163686,164425
7,울산광역시  (3100000000),103401.0,104063.0,104819.0,105369.0,105817.0,106221.0,106656,107470,108052,108655,109265,109916
8,경기도  (4100000000),1182747.0,1188647.0,1195236.0,1200077.0,1205067.0,1209469.0,1213954,1221716,1227871,1233871,1239370,1245548
9,강원도  (4200000000),229447.0,230272.0,231230.0,232051.0,232820.0,233382.0,234016,235068,235900,236810,237514,238282
10,충청북도  (4300000000),210046.0,210873.0,211844.0,212480.0,213155.0,213681.0,213131,214076,214835,215651,216355,217136
11,충청남도  (4400000000),304291.0,305278.0,306350.0,307175.0,308047.0,308606.0,294364,295398,296172,296927,297540,298276
12,전라북도  (4500000000),288758.0,289310.0,290151.0,290776.0,291347.0,291859.0,292376,293676,294559,295443,296092,296810
13,전라남도  (4600000000),336175.0,336622.0,337314.0,337821.0,338453.0,338913.0,339448,340388,340999,341670,342137,342684
14,경상북도  (4700000000),427971.0,429126.0,430650.0,431754.0,432799.0,433544.0,434281,435780,436920,438139,439234,440323
15,경상남도  (4800000000),430456.0,431886.0,433735.0,435185.0,436573.0,437550.0,438702,440541,442104,443553,444811,446372
16,제주특별자치도  (5000000000),74830.0,75065.0,75285.0,75519.0,75768.0,75969.0,76205,76647,76881,77150,77435,77672
17,세종특별자치시  (3600000000),,,,,,,16138,16331,16436,16534,16623,16721
